suite,run_id,status,workload_id,phase_id,config_id,arch_id,m,n,k,num_quantmac,num_rescalemac,energy_pj,energy_total_pj,energy_pj_per_output,latency_cycles,area_m2,bottleneck_component,workload_file,arch_file,mapping_file,breakdown_file,hardware_model,error,duration_s
proposal,proposal__vla__decode__c0__baseline,ok,VLA,decode,C0,baseline,1,256,4096,1,1,1519155.2,1519155.2,5934.2,16384.0,3.9067712000000004e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c0__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c0__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c0__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c0__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,99.36
proposal,proposal__vla__decode__c1__baseline,ok,VLA,decode,C1,baseline,1,256,4096,1,1,1925153.28,1925153.28,7520.13,19712.0,3.8925712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c1__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c1__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c1__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c1__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,286.699
proposal,proposal__vla__decode__c2__baseline,ok,VLA,decode,C2,baseline,1,256,4096,1,1,2463119.3600000003,2463119.3600000003,9621.560000000001,23040.0,3.8925712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c2__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c2__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c2__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c2__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,273.903
proposal,proposal__vla__decode__c3__baseline,ok,VLA,decode,C3,baseline,1,256,4096,1,1,2675379.2,2675379.2,10450.7,23060.0,3.8959712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c3__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c3__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c3__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c3__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,268.162
proposal,proposal__vla__decode__c4__baseline,ok,VLA,decode,C4,baseline,1,256,4096,1,1,3196953.6,3196953.6,12488.1,25096.0,3.9067712000000004e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c4__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c4__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c4__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c4__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,241.449
proposal,proposal__vla__decode__c5__baseline,ok,VLA,decode,C5,baseline,1,256,4096,1,1,3193241.3600000003,3193241.3600000003,12473.599062500001,88601.0,3.8942712e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c5__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c5__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c5__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c5__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,394.917
proposal,proposal__vla__decode__c6__baseline,ok,VLA,decode,C6,baseline,1,256,4096,1,1,3404221.2,3404221.2,13297.7390625,88601.0,3.8959712e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c6__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c6__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c6__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c6__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,358.914
proposal,proposal__vla__decode__c7__baseline,ok,VLA,decode,C7,baseline,1,256,4096,1,1,3854484.0000000005,3854484.0000000005,15056.578125000002,154137.0,3.9067712000000004e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c7__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c7__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c7__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c7__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,386.876
proposal,proposal__vla__decode__c8__baseline,ok,VLA,decode,C8,baseline,1,256,4096,1,1,2020019.2,2020019.2,7890.7,21000.0,3.8959712e-07,FP4MAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c8__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c8__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c8__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c8__baseline/breakdown.json,inference_prequantized,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,281.574
proposal,proposal__vla__decode__c9__baseline,ok,VLA,decode,C9,baseline,1,256,4096,1,1,2205081.3600000003,2205081.3600000003,8613.599062500001,85521.0,3.8942712e-07,RescaleFineMAC,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c9__baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c9__baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c9__baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/generated/proposal/proposal__vla__decode__c9__baseline/breakdown.json,compact_two_level_inference,total_area unavailable: Area of DRAM is not set. Please call the Spec's `calculate_component_area_energy_latency_leak` method before accessing this property.,405.734
